input_mode,hand,history_s,forecast_step_s,F_skill,x_skill,y_skill,mean_skill,coverage_raw,coverage_cal
highpass,right,3.0,0.1,0.1719,0.1830,0.2009,0.1853,0.801,0.948
highpass,right,3.0,0.2,0.2106,0.2758,0.2879,0.2581,0.801,0.948
highpass,right,3.0,0.3,0.2327,0.3682,0.3259,0.3089,0.801,0.948
highpass,right,3.0,0.4,0.2603,0.4382,0.3453,0.3479,0.801,0.948
highpass,right,3.0,0.5,0.3071,0.4945,0.3663,0.3893,0.801,0.948
highpass,right,3.0,0.6,0.3476,0.5266,0.3789,0.4177,0.801,0.948
highpass,right,3.0,0.7,0.3867,0.5395,0.3876,0.4379,0.801,0.948
highpass,right,3.0,0.8,0.4065,0.5389,0.3992,0.4482,0.801,0.948
highpass,right,3.0,0.9,0.4212,0.5237,0.4113,0.4521,0.801,0.948
highpass,right,3.0,1.0,0.4263,0.5053,0.4173,0.4496,0.801,0.948
highpass,right,5.0,0.1,0.1470,0.1566,0.1729,0.1588,0.787,0.947
highpass,right,5.0,0.2,0.1597,0.2320,0.2661,0.2193,0.787,0.947
highpass,right,5.0,0.3,0.1437,0.3253,0.2919,0.2536,0.787,0.947
highpass,right,5.0,0.4,0.1583,0.4004,0.2869,0.2819,0.787,0.947
highpass,right,5.0,0.5,0.2048,0.4647,0.2964,0.3220,0.787,0.947
highpass,right,5.0,0.6,0.2602,0.5043,0.3034,0.3559,0.787,0.947
highpass,right,5.0,0.7,0.3167,0.5237,0.3203,0.3869,0.787,0.947
highpass,right,5.0,0.8,0.3553,0.5298,0.3430,0.4094,0.787,0.947
highpass,right,5.0,0.9,0.3859,0.5225,0.3680,0.4255,0.787,0.947
highpass,right,5.0,1.0,0.4030,0.5088,0.3970,0.4363,0.787,0.947
highpass,right,10.0,0.1,0.1289,0.1266,0.1909,0.1488,0.768,0.946
highpass,right,10.0,0.2,0.1154,0.2127,0.2814,0.2032,0.768,0.946
highpass,right,10.0,0.3,0.0781,0.3020,0.2995,0.2265,0.768,0.946
highpass,right,10.0,0.4,0.0782,0.3819,0.2887,0.2496,0.768,0.946
highpass,right,10.0,0.5,0.1290,0.4477,0.3032,0.2933,0.768,0.946
highpass,right,10.0,0.6,0.2040,0.4841,0.3223,0.3368,0.768,0.946
highpass,right,10.0,0.7,0.2796,0.4978,0.3520,0.3765,0.768,0.946
highpass,right,10.0,0.8,0.3311,0.5016,0.3800,0.4042,0.768,0.946
highpass,right,10.0,0.9,0.3684,0.4990,0.4033,0.4236,0.768,0.946
highpass,right,10.0,1.0,0.3955,0.4942,0.4182,0.4359,0.768,0.946
