input_mode,hand,history_s,forecast_step_s,F_skill,x_skill,y_skill,mean_skill,coverage_raw,coverage_cal
highpass,right,2.0,0.8,0.6035,0.6140,0.5600,0.5925,0.939,0.945
highpass,right,2.0,0.9,0.6130,0.6052,0.5664,0.5949,0.939,0.945
highpass,right,2.0,1.0,0.6140,0.5933,0.5729,0.5934,0.939,0.945
highpass,right,3.0,0.1,0.4514,0.2997,0.3563,0.3691,0.941,0.947
highpass,right,3.0,0.2,0.4152,0.3527,0.3998,0.3892,0.941,0.947
highpass,right,3.0,0.3,0.4376,0.4477,0.4582,0.4479,0.941,0.947
highpass,right,3.0,0.4,0.4751,0.5191,0.4968,0.4970,0.941,0.947
highpass,right,3.0,0.5,0.5193,0.5729,0.5278,0.5400,0.941,0.947
highpass,right,3.0,0.6,0.5565,0.6020,0.5467,0.5684,0.941,0.947
highpass,right,3.0,0.7,0.5873,0.6153,0.5582,0.5869,0.941,0.947
highpass,right,3.0,0.8,0.6059,0.6157,0.5671,0.5963,0.941,0.947
highpass,right,3.0,0.9,0.6166,0.6078,0.5742,0.5996,0.941,0.947
highpass,right,3.0,1.0,0.6187,0.5943,0.5816,0.5982,0.941,0.947
highpass,right,5.0,0.1,0.4406,0.2787,0.3487,0.3560,0.939,0.944
highpass,right,5.0,0.2,0.4075,0.3393,0.3923,0.3797,0.939,0.944
highpass,right,5.0,0.3,0.4320,0.4377,0.4460,0.4385,0.939,0.944
highpass,right,5.0,0.4,0.4731,0.5112,0.4790,0.4878,0.939,0.944
highpass,right,5.0,0.5,0.5192,0.5678,0.5130,0.5333,0.939,0.944
highpass,right,5.0,0.6,0.5579,0.5963,0.5326,0.5623,0.939,0.944
highpass,right,5.0,0.7,0.5884,0.6113,0.5474,0.5824,0.939,0.944
highpass,right,5.0,0.8,0.6055,0.6124,0.5582,0.5920,0.939,0.944
highpass,right,5.0,0.9,0.6143,0.6062,0.5661,0.5955,0.939,0.944
highpass,right,5.0,1.0,0.6148,0.5946,0.5741,0.5945,0.939,0.944
highpass,right,10.0,0.1,0.4468,0.2626,0.3518,0.3537,0.939,0.944
highpass,right,10.0,0.2,0.4073,0.3200,0.3960,0.3745,0.939,0.944
highpass,right,10.0,0.3,0.4241,0.4180,0.4486,0.4302,0.939,0.944
highpass,right,10.0,0.4,0.4573,0.4894,0.4788,0.4751,0.939,0.944
highpass,right,10.0,0.5,0.5007,0.5440,0.5103,0.5183,0.939,0.944
highpass,right,10.0,0.6,0.5384,0.5749,0.5279,0.5471,0.939,0.944
highpass,right,10.0,0.7,0.5725,0.5905,0.5428,0.5686,0.939,0.944
highpass,right,10.0,0.8,0.5920,0.5954,0.5531,0.5802,0.939,0.944
highpass,right,10.0,0.9,0.6045,0.5910,0.5634,0.5863,0.939,0.944
highpass,right,10.0,1.0,0.6072,0.5845,0.5712,0.5876,0.939,0.944
