fold,held_out,model,channel,hand,horizon_step,metric,value,n_frames,config_hash
0,S01,persistence,CoPy_L,left,6,SS_vs_persistence,2.6680209486151796e-08,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,6,SS_vs_seasonal,2.6680209486151796e-08,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,6,SS_vs_ar,-0.2976392306231763,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,6,SS_vs_probgru,-0.028550682781669945,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,all,MSE,3.201958358191271e-05,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,all,MAE,0.0033605379271723092,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,all,Hausdorff,2.8952757714441164,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,all,SS_vs_persistence,3.1230886210487085e-08,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,all,HD_ratio_vs_persistence,1.0,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,all,SS_vs_seasonal,3.1230886210487085e-08,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,all,HD_ratio_vs_seasonal,1.0,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,all,SS_vs_ar,-0.2600525549508217,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,all,HD_ratio_vs_ar,1.1835640803315737,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,all,SS_vs_probgru,-0.09355453006401504,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,all,HD_ratio_vs_probgru,1.0377860345843704,15430,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,1,MSE,28.121264220856332,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,1,MAE,3.4781877391203193,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,1,SS_vs_persistence,3.552713678800501e-14,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,1,SS_vs_seasonal,0.04722768145185596,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,1,SS_vs_ar,-0.03907354345377212,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,1,SS_vs_probgru,0.15840831128896726,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,2,MSE,61.02950957958787,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,2,MAE,5.263838743624664,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,2,SS_vs_persistence,1.6431300764452317e-14,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,2,SS_vs_seasonal,0.01662360706360666,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,2,SS_vs_ar,-0.052575171638296725,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,2,SS_vs_probgru,0.024756085538907957,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,3,MSE,88.08360444320705,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,3,MAE,6.461144898546409,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,3,SS_vs_persistence,1.1324274851176597e-14,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,3,SS_vs_seasonal,0.0078447847593337,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,3,SS_vs_ar,-0.0725790143049434,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,3,SS_vs_probgru,-0.004987473319453706,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,4,MSE,109.98571992529817,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,4,MAE,7.400519242062309,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,4,SS_vs_persistence,8.992806499463768e-15,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,4,SS_vs_seasonal,0.004196269314215462,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,4,SS_vs_ar,-0.08892715975302679,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,4,SS_vs_probgru,-0.005583644441046642,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,5,MSE,130.3731172817344,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,5,MAE,8.171352616854621,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,5,SS_vs_persistence,7.66053886991358e-15,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,5,SS_vs_seasonal,0.001869851815797019,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,5,SS_vs_ar,-0.10449391017026355,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,5,SS_vs_probgru,0.0011697339962896125,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,6,MSE,149.85266894307338,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,6,MAE,8.873741949872203,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,6,SS_vs_persistence,6.661338147750939e-15,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,6,SS_vs_seasonal,0.0006041363308344483,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,6,SS_vs_ar,-0.11373055945023824,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,6,SS_vs_probgru,0.022060130927997634,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,all,MSE,94.5743140656262,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,all,MAE,6.608130865013421,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,all,Hausdorff,3.048839351860543,32388,2ec2ba37fa8cbb0b
0,S01,persistence,F_R,right,all,SS_vs_persistence,1.0547118733938987e-14,32388,2ec2ba37fa8cbb0b
