label,action,n_clips,model,r2,skill,skill_pooled,hausdorff,hausdorff_ratio,r2_F_R,skill_F_R,skill_pooled_F_R,hausdorff_F_R,r2_CoPx_R,skill_CoPx_R,skill_pooled_CoPx_R,hausdorff_CoPx_R,r2_CoPy_R,skill_CoPy_R,skill_pooled_CoPy_R,hausdorff_CoPy_R
OpenTouch train_only_v1 3s six arms,attaching,4,s2scnn_cnn,0.3939087617461631,0.3916721950511435,,2.2384851838100093,0.7665743421594045,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,attaching,4,s2scnn_persistence,-0.0637663633550779,0.0,,2.920114933020456,1.0,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,attaching,4,s2scnn_seasonal,-0.09088580003421069,0.009990829416550126,,1.2830407188266966,0.439380212168419,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,attaching,4,s2sflat_ar,0.44321384498529137,0.43294327814059147,,2.3396047668334976,0.8012029733410182,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,attaching,4,s2sflat_flatten,0.32096495005316245,0.3155424116155607,,2.2062526710973094,0.7555362448748706,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,attaching,4,s2sflat_persistence,-0.0637663633550779,0.0,,2.920114933020456,1.0,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,attaching,4,s2sflat_seasonal,-0.09088580003421069,0.009990829416550126,,1.2830407188266966,0.439380212168419,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,attaching,4,persistence,-0.0637663633550779,0.0,,2.920114933020456,1.0,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,bending,1,pgagg_ar,-1.3036063580175645,-0.08219087481946612,,2.6307360308822463,0.8742571393265255,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,bending,1,pgagg_persistence,-1.0163805182068717,0.0,,3.0091101491133436,1.0,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,bending,1,pgagg_prob_gru,-0.25099541485159915,0.3808333986820916,,2.412739704655974,0.8018116935223876,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,bending,1,pgagg_seasonal,-1.7437664227408216,-0.32440063698862653,,1.492848989307354,0.49610978506294723,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,bending,1,pgcnn_ar,-1.3036063580175645,-0.08219087481946612,,2.6307360308822463,0.8742571393265255,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,bending,1,pgcnn_persistence,-1.0163805182068717,0.0,,3.0091101491133436,1.0,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,bending,1,pgcnn_pg_cnn,-0.32359762376220336,0.3518993084506781,,2.407054198504205,0.799922262471336,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,bending,1,pgcnn_seasonal,-1.7437664227408216,-0.32440063698862653,,1.492848989307354,0.49610978506294723,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,bending,1,pgflat_ar,-1.3036063580175645,-0.08219087481946612,,2.6307360308822463,0.8742571393265255,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,bending,1,pgflat_persistence,-1.0163805182068717,0.0,,3.0091101491133436,1.0,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,bending,1,pgflat_pg_flatten,-0.8812881493924469,0.09264358272397492,,2.1629368127566497,0.718796157526495,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,bending,1,pgflat_seasonal,-1.7437664227408216,-0.32440063698862653,,1.492848989307354,0.49610978506294723,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,bending,1,s2sagg_ar,-1.3036063580175645,-0.08219087481946612,,2.6307360308822463,0.8742571393265255,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,bending,1,s2sagg_map_aggregate,-0.21438512259142758,0.39805190502526894,,2.2824068869238108,0.7584989494639599,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,bending,1,s2sagg_persistence,-1.0163805182068717,0.0,,3.0091101491133436,1.0,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,bending,1,s2sagg_seasonal,-1.7437664227408216,-0.32440063698862653,,1.492848989307354,0.49610978506294723,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,bending,1,s2scnn_ar,-1.3036063580175645,-0.08219087481946612,,2.6307360308822463,0.8742571393265255,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,bending,1,s2scnn_cnn,-0.4097184992905291,0.3082021596530196,,2.2701651692772815,0.754430730940907,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,bending,1,s2scnn_persistence,-1.0163805182068717,0.0,,3.0091101491133436,1.0,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,bending,1,s2scnn_seasonal,-1.7437664227408216,-0.32440063698862653,,1.492848989307354,0.49610978506294723,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,bending,1,s2sflat_ar,-1.3036063580175645,-0.08219087481946612,,2.6307360308822463,0.8742571393265255,,,,,,,,,,,,
